id,from_addr,to_addr,bg_id,county,state_or_territory,fullname,bg_smoke_risk,bg_pop_risk,bg_pop,place_id
5196156,8301,8499,170317110001,Cook,Illinois,S Racine Ave,0.44391318712215967924,0.23164319694832736401,105,1714000
5196157,1014,1062,170317110001,Cook,Illinois,W 85th St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196158,8300,8498,170317110001,Cook,Illinois,S Carpenter St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196159,8301,8499,170317110001,Cook,Illinois,S Carpenter St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196160,1000,1198,170317110001,Cook,Illinois,W 84th St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196161,1001,1199,170317110001,Cook,Illinois,W 84th St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196162,8200,8498,170317110001,Cook,Illinois,S May St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196163,8301,8499,170317110001,Cook,Illinois,S May St,0.44391318712215967924,0.23164319694832736401,105,1714000
5196164,800,998,170317110002,Cook,Illinois,W 86th Pl,0.73554502104456564849,0.24777394452171704607,112,1714000
5196165,801,999,170317110002,Cook,Illinois,W 86th Pl,0.73554502104456564849,0.24777394452171704607,112,1714000
5196166,800,998,170317110002,Cook,Illinois,W 86th St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196167,801,999,170317110002,Cook,Illinois,W 86th St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196168,8301,8699,170317110002,Cook,Illinois,S Morgan St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196169,801,999,170317110002,Cook,Illinois,W 83rd St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196170,8300,8598,170317110002,Cook,Illinois,S Peoria St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196171,8301,8599,170317110002,Cook,Illinois,S Peoria St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196172,8500,8698,170317110002,Cook,Illinois,S Summit Ave,0.73554502104456564849,0.24777394452171704607,112,1714000
5196173,8501,8599,170317110002,Cook,Illinois,S Summit Ave,0.73554502104456564849,0.24777394452171704607,112,1714000
5196174,8663,8699,170317110002,Cook,Illinois,S Vincennes Ave,0.73554502104456564849,0.24777394452171704607,112,1714000
5196175,8300,8598,170317110002,Cook,Illinois,S Green St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196176,8301,83099,170317110002,Cook,Illinois,S Green St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196177,8450-8498,8450-8400,170317110002,Cook,Illinois,S Green St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196178,8438-8498,8438-8400,170317110002,Cook,Illinois,S Green St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196179,800,998,170317110002,Cook,Illinois,W 85th St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196180,801,999,170317110002,Cook,Illinois,W 85th St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196181,800,1012,170317110002,Cook,Illinois,W 84th St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196182,801,999,170317110002,Cook,Illinois,W 84th St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196183,8300,8698,170317110002,Cook,Illinois,S Halsted St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196184,810,830,170317110002,Cook,Illinois,W 87th St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196185,8200,8698,170317110002,Cook,Illinois,S Sangamon St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196186,8301,8699,170317110002,Cook,Illinois,S Sangamon St,0.73554502104456564849,0.24777394452171704607,112,1714000
5196187,1000,1212,170317110003,Cook,Illinois,W 86th St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196188,1001,1199,170317110003,Cook,Illinois,W 86th St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196189,8500,8698,170317110003,Cook,Illinois,S Morgan St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196190,8400,8698,170317110003,Cook,Illinois,S Aberdeen St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196191,8501,8699,170317110003,Cook,Illinois,S Aberdeen St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196192,8501,8659,170317110003,Cook,Illinois,S Racine Ave,0.81123411814304076956,0.29989114069388285175,59,1714000
5196193,1001,1199,170317110003,Cook,Illinois,W 85th St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196194,8500,8698,170317110003,Cook,Illinois,S Carpenter St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196195,8501,8699,170317110003,Cook,Illinois,S Carpenter St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196196,8500,8698,170317110003,Cook,Illinois,S May St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196197,8501,8699,170317110003,Cook,Illinois,S May St,0.81123411814304076956,0.29989114069388285175,59,1714000
5196198,8301,8599,170317111001,Cook,Illinois,S Ada St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196199,1214,1228,170317111001,Cook,Illinois,W 86th St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196200,1201,1329,170317111001,Cook,Illinois,W 83rd St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196201,8300,8598,170317111001,Cook,Illinois,S Racine Ave,0.84954387925195428130,0.20288424336590264653,79,1714000
5196202,8300,8598,170317111001,Cook,Illinois,S Throop St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196203,8301,8599,170317111001,Cook,Illinois,S Throop St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196204,8300,8598,170317111001,Cook,Illinois,S Elizabeth St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196205,8301,8599,170317111001,Cook,Illinois,S Elizabeth St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196206,1200,1328,170317111001,Cook,Illinois,W 85th St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196207,1201,1329,170317111001,Cook,Illinois,W 85th St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196208,1200,1362,170317111001,Cook,Illinois,W 84th St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196209,1201,1399,170317111001,Cook,Illinois,W 84th St,0.84954387925195428130,0.20288424336590264653,79,1714000
5196210,1319-1301,1319-1399,170317111001,Cook,Illinois,W 84th St,0.84954387925195428130,0.20288424336590264653,79,1714000
